date,Open,High,Low,Close,Adj Close,Volume,DollarPrice,DollarChangeRate,OilPrice,OilChangeRate,Interest,InterestRateChange,copper,copperChangeRate,nextdayprice,result
2018-04-03,89.580002,90.050003,87.889999,89.709999,84.666023,37213800,90.2,0.17,63.51,0.79,1.69,0.6,3.0745,0.44,92.330002,1
2018-04-04,87.849998,92.760002,87.730003,92.330002,87.138741,35560000,90.14,-0.07,63.37,-0.22,1.69,0,3.021,-1.74,92.379997,1
2018-04-05,92.440002,93.07,91.400002,92.379997,87.185898,29771900,90.46,0.36,63.54,0.27,1.69,0,3.085,2.12,90.230003,0
2018-04-06,91.489998,92.459999,89.480003,90.230003,85.156784,38026000,90.11,-0.39,62.06,-2.33,1.69,0,3.069,-0.52,90.769997,1
2018-04-09,91.040001,93.169998,90.620003,90.769997,85.666405,31533900,89.84,-0.3,63.42,2.19,1.69,0,3.0865,0.57,92.879997,1
2018-04-10,92.389999,93.279999,91.639999,92.879997,87.657806,26812000,89.59,-0.28,65.51,3.3,1.69,0,3.146,1.93,91.860001,0
2018-04-11,92.010002,93.290001,91.480003,91.860001,86.695129,24872100,89.57,-0.02,66.82,2,1.69,0,3.1265,-0.62,93.580002,1
2018-04-12,92.43,94.160004,92.43,93.580002,88.318443,26758900,89.75,0.2,67.07,0.37,1.69,0,3.074,-1.68,93.080002,0
2018-04-13,94.050003,94.18,92.440002,93.080002,87.846535,23346100,89.8,0.06,67.39,0.48,1.69,0,3.082,0.26,94.169998,1
2018-04-16,94.07,94.660004,93.419998,94.169998,88.875259,20288100,89.42,-0.42,66.22,-1.74,1.69,0,3.1065,0.79,96.07,1
2018-04-17,95,96.540001,94.879997,96.07,90.668419,26771000,89.52,0.11,66.52,0.45,1.69,0,3.0915,-0.48,96.440002,1
2018-04-18,96.220001,96.720001,95.519997,96.440002,91.017624,21043300,89.62,0.11,68.47,2.93,1.69,0,3.17,2.54,96.110001,0
2018-04-19,96.440002,97.07,95.339996,96.110001,90.706177,23552500,89.94,0.36,68.29,-0.26,1.69,0,3.1425,-0.87,95,0
2018-04-20,95.910004,96.110001,94.050003,95,89.658592,31154400,90.32,0.42,68.38,0.13,1.7,0.59,3.145,0.08,95.349998,1
2018-04-23,95.739998,96.290001,94.629997,95.349998,89.988922,22331800,90.95,0.7,68.64,0.38,1.7,0,3.1205,-0.78,93.120003,0
2018-04-24,96.239998,96.470001,92.410004,93.120003,87.884308,34524800,90.77,-0.2,67.7,-1.37,1.7,0,3.1525,1.03,92.309998,0
2018-04-25,93.300003,93.300003,90.279999,92.309998,87.119858,33729300,91.17,0.44,68.05,0.52,1.7,0,3.146,-0.21,94.260002,1
2018-04-26,93.550003,95.150002,93.099998,94.260002,88.960197,42529000,91.56,0.43,68.19,0.21,1.7,0,3.1265,-0.62,95.82,1
2018-04-27,97.599998,97.900002,93.910004,95.82,90.43248,48272800,91.54,-0.02,68.1,-0.13,1.7,0,3.0695,-1.82,93.519997,0
2018-04-30,96.330002,96.400002,93.150002,93.519997,88.261803,41523600,91.84,0.33,68.57,0.69,1.69,-0.59,3.074,0.15,95,1
2018-05-01,93.209999,95.290001,92.790001,95,89.658592,31408900,92.45,0.66,67.25,-1.93,1.7,0.59,3.0375,-1.19,93.510002,0
2018-05-02,94.989998,95.169998,93.190002,93.510002,88.25238,27471000,92.51,0.06,67.93,1.01,1.7,0,3.0685,1.02,94.07,1
2018-05-03,92.959999,94.93,92.449997,94.07,88.780891,31142500,92.41,-0.11,68.43,0.74,1.7,0,3.0805,0.39,95.160004,1
2018-05-04,93.32,95.370003,92.919998,95.160004,89.809593,22531300,92.57,0.17,69.72,1.89,1.7,0,3.0855,0.16,96.220001,1
2018-05-07,95.169998,96.709999,95.099998,96.220001,90.80999,24242000,92.75,0.19,70.73,1.45,1.7,0,3.079,-0.21,95.809998,0
2018-05-08,95.849998,96.160004,95.059998,95.809998,90.42305,23484600,93.12,0.4,69.06,-2.36,1.7,0,3.059,-0.65,96.940002,1
2018-05-09,96.010002,96.970001,95.050003,96.940002,91.489502,27327400,93.04,-0.09,71.14,3.01,1.7,0,3.0575,-0.05,97.910004,1
2018-05-10,97.459999,97.949997,97.050003,97.910004,92.404968,22388100,92.65,-0.42,71.36,0.31,1.7,0,3.11,1.72,97.699997,0
2018-05-11,97.800003,97.870003,97.040001,97.699997,92.206772,16778300,92.54,-0.12,70.7,-0.92,1.7,0,3.1115,0.05,98.029999,1
2018-05-14,97.919998,98.690002,97.309998,98.029999,92.518234,19454100,92.59,0.05,70.96,0.37,1.7,0,3.093,-0.59,97.32,0
2018-05-15,97.239998,97.849998,96.339996,97.32,91.848152,24594000,93.22,0.68,71.31,0.49,1.7,0,3.056,-1.2,97.150002,0
2018-05-16,97.360001,97.400002,96.620003,97.150002,92.085121,17384700,93.39,0.18,71.49,0.25,1.7,0,3.0705,0.47,96.18,0
2018-05-17,96.760002,97.540001,95.830002,96.18,91.165688,17246700,93.47,0.09,71.49,0,1.7,0,3.089,0.6,96.360001,1
2018-05-18,96.010002,96.93,96.010002,96.360001,91.336296,17865800,93.64,0.18,71.28,-0.29,1.7,0,3.0635,-0.83,97.599998,1
2018-05-21,97,98.010002,96.800003,97.599998,92.511665,19422500,93.68,0.04,72.24,1.35,1.7,0,3.0985,1.14,97.5,0
2018-05-22,97.68,98.169998,97.199997,97.5,92.416855,15441200,93.61,-0.07,72.13,-0.15,1.7,0,3.132,1.08,98.660004,1
2018-05-23,96.709999,98.730003,96.32,98.660004,93.516388,21251200,94,0.42,71.84,-0.4,1.7,0,3.0705,-1.96,98.309998,0
2018-05-24,98.730003,98.940002,96.809998,98.309998,93.184631,26649300,93.76,-0.26,70.71,-1.57,1.7,0,3.096,0.83,98.360001,1
2018-05-25,98.300003,98.980003,97.860001,98.360001,93.232033,18363900,94.19,0.46,67.88,-4,1.7,0,3.0775,-0.6,98.010002,0
2018-05-29,97.839996,98.879997,97.230003,98.010002,92.900291,28671000,94.83,0.68,66.73,-0.48,1.7,0,3.0625,-0.49,98.949997,1
2018-05-30,98.309998,99.25,97.910004,98.949997,93.791283,22158500,94.15,-0.72,68.21,2.22,1.7,0,3.0795,0.56,98.839996,0
2018-05-31,99.290001,99.989998,98.610001,98.839996,93.687012,34140900,93.98,-0.18,67.04,-1.72,1.7,0,3.075,-0.15,100.790001,1
2018-06-01,99.279999,100.860001,99.169998,100.790001,95.535355,28655600,94.19,0.22,65.81,-1.83,1.7,0,3.1085,1.09,101.669998,1
2018-06-04,101.260002,101.860001,100.849998,101.669998,96.369476,27281600,94.02,-0.18,64.75,-1.61,1.7,0,3.144,1.14,102.190002,1
